loan_id,loan_status,default_flag
991638,Fully Paid,0
570252,Current,0
105391,Fully Paid,0
973541,Late (31-120 days),1
966743,Fully Paid,0
534423,Current,0
741668,Fully Paid,0
1880618,Fully Paid,0
938260,Current,0
2218773,Current,0
1651897,Does not meet the credit policy. Status:Charged Off,1
837478,Current,0
1490910,Current,0
619280,Fully Paid,0
1113578,Fully Paid,0
1068731,Current,0
2086447,Current,0
1208817,Charged Off,1
1112441,Fully Paid,0
1096576,Fully Paid,0
914907,Current,0
563162,Current,0
276498,Fully Paid,0
193755,Fully Paid,0
229307,Current,0
672153,Current,0
283918,Fully Paid,0
535742,Current,0
1339873,Charged Off,1
1924140,Fully Paid,0
1160609,Fully Paid,0
1555771,Current,0
1552296,Current,0
731694,Current,0
2117502,Fully Paid,0
1007133,Fully Paid,0
759731,Fully Paid,0
814597,Current,0
1046772,Fully Paid,0
1537211,Fully Paid,0
934966,Charged Off,1
283165,Fully Paid,0
871070,Current,0
1380877,Current,0
559923,Current,0
1857063,Charged Off,1
91204,Fully Paid,0
1422640,Current,0
77609,Charged Off,1
763191,Current,0
1286033,Fully Paid,0
633223,Current,0
1155620,Current,0
709963,Fully Paid,0
207490,Fully Paid,0
2014353,Charged Off,1
1683069,Fully Paid,0
1807289,Fully Paid,0
232380,Fully Paid,0
831779,Current,0
1445558,Current,0
623531,Current,0
1008245,Fully Paid,0
2161994,Current,0
2231720,Current,0
1450065,Current,0
1308935,Charged Off,1
2032227,Fully Paid,0
1476928,Current,0
1231509,Fully Paid,0
1415328,Fully Paid,0
410594,Fully Paid,0
619230,Fully Paid,0
2051345,Current,0
1917460,Fully Paid,0
1964606,Charged Off,1
60387,Fully Paid,0
1322845,Fully Paid,0
1057845,Fully Paid,0
982252,Charged Off,1
707659,Charged Off,1
781280,Current,0
970602,Current,0
1959980,Current,0
571586,Current,0
749902,Current,0
1130196,Fully Paid,0
1145853,Current,0
1945756,Fully Paid,0
978559,Fully Paid,0
1273309,Fully Paid,0
766202,Current,0
1640729,Fully Paid,0
1560581,Current,0
1100786,Current,0
712478,Fully Paid,0
1843383,Fully Paid,0
1472698,Current,0
1888056,Fully Paid,0
594971,Current,0
119692,Fully Paid,0
602878,Fully Paid,0
937604,Current,0
1869942,Fully Paid,0
2189550,Current,0
2016021,Current,0
524989,Current,0
1351395,Fully Paid,0
2093398,Current,0
1037210,Current,0
1795464,Fully Paid,0
5817,Fully Paid,0
1760207,Charged Off,1
906266,Current,0
1936919,Fully Paid,0
1170581,Charged Off,1
52758,Fully Paid,0
1806369,Fully Paid,0
453441,Current,0
1290655,Charged Off,1
1759714,Fully Paid,0
186705,Fully Paid,0
797559,Current,0
1146753,Fully Paid,0
1444488,Current,0
1018843,Fully Paid,0
994262,Charged Off,1
1374140,Current,0
55847,Fully Paid,0
2101821,Current,0
459732,Current,0
2051409,Current,0
829267,Current,0
1747024,Current,0
1746552,Charged Off,1
1390882,Current,0
414753,Charged Off,1
71167,Fully Paid,0
758889,Current,0
415791,Fully Paid,0
402946,Fully Paid,0
795877,Current,0
567628,Current,0
227006,Fully Paid,0
607946,Current,0
94169,Fully Paid,0
5499,Fully Paid,0
421881,Charged Off,1
932780,Fully Paid,0
260664,Fully Paid,0
2042138,Current,0
867224,Current,0
800548,Current,0
1747805,Charged Off,1
1161246,Fully Paid,0
429945,Current,0
1331401,Fully Paid,0
1378258,Current,0
1384908,Current,0
577360,Current,0
1545945,Fully Paid,0
454512,Fully Paid,0
489647,Current,0
1347283,Fully Paid,0
385476,Fully Paid,0
1447504,Current,0
841494,Current,0
2064897,Fully Paid,0
463123,Fully Paid,0
388695,Fully Paid,0
1849029,Fully Paid,0
1299183,Fully Paid,0
1251604,Fully Paid,0
1309834,Fully Paid,0
149563,Fully Paid,0
238818,Current,0
885517,Fully Paid,0
2167953,Current,0
2006559,Current,0
371302,Fully Paid,0
315562,Fully Paid,0
1774324,Fully Paid,0
644859,Current,0
1319384,Fully Paid,0
2063808,Current,0
66776,Fully Paid,0
1783401,Fully Paid,0
2076928,Current,0
698165,Fully Paid,0
1031284,Current,0
999114,Fully Paid,0
1849001,Fully Paid,0
2037827,Fully Paid,0
1731752,Fully Paid,0
1019473,Fully Paid,0
191973,Charged Off,1
1332076,Charged Off,1
2107134,Current,0
1865810,Fully Paid,0
1195909,Fully Paid,0
202119,Fully Paid,0
718414,Current,0
632817,Fully Paid,0
383823,Fully Paid,0
557990,Current,0
1709817,Fully Paid,0
268565,Charged Off,1
2090526,Current,0
1806843,Fully Paid,0
1442931,Current,0
871549,Current,0
1179562,Fully Paid,0
1289768,Fully Paid,0
1896573,Charged Off,1
19240,Fully Paid,0
394182,Fully Paid,0
1501203,Current,0
1299150,Fully Paid,0
1080856,Fully Paid,0
246834,Charged Off,1
1099424,Current,0
2119605,Current,0
2201582,Fully Paid,0
1370134,Current,0
961913,Fully Paid,0
1870466,Fully Paid,0
1906742,Fully Paid,0
297298,Fully Paid,0
761405,Current,0
329746,Fully Paid,0
956774,Fully Paid,0
1457691,Current,0
2226012,Charged Off,1
1516674,Fully Paid,0
526978,Current,0
1653583,Does not meet the credit policy. Status:Fully Paid,0
1314712,Fully Paid,0
776459,Current,0
885896,Fully Paid,0
998103,Fully Paid,0
618392,Current,0
1480440,Current,0
1052128,Fully Paid,0
8475,Fully Paid,0
2247138,Late (31-120 days),1
1591132,Current,0
1799551,Fully Paid,0
1129509,Fully Paid,0
441574,Current,0
864963,Current,0
895822,Fully Paid,0
1532882,Current,0
1776636,Charged Off,1
1399065,Current,0
479045,Fully Paid,0
1940431,Fully Paid,0
1114009,Charged Off,1
767018,Current,0
457720,Current,0
380577,Fully Paid,0
994973,Charged Off,1
1306795,Fully Paid,0
124841,Fully Paid,0
312804,Fully Paid,0
817746,Current,0
1819105,Fully Paid,0
1642051,Fully Paid,0
853352,Fully Paid,0
1676704,Current,0
607507,Late (31-120 days),1
736296,Fully Paid,0
870183,Current,0
137084,Fully Paid,0
1075107,Fully Paid,0
209669,Fully Paid,0
811090,Current,0
1946067,Current,0
1087413,Fully Paid,0
593436,Current,0
771023,Current,0
784171,Current,0
854722,Current,0
1207943,Fully Paid,0
1232993,Fully Paid,0
1897377,Fully Paid,0
2066580,Current,0
1164338,Charged Off,1
2054589,Late (31-120 days),1
2120125,Current,0
1228394,Fully Paid,0
819494,Fully Paid,0
1057605,Fully Paid,0
986153,Fully Paid,0
2137581,Fully Paid,0
816181,Fully Paid,0
1450954,Fully Paid,0
538363,Current,0
1253433,Fully Paid,0
721196,Fully Paid,0
568165,Current,0
1664827,Current,0
1323139,Fully Paid,0
2070869,Current,0
2079704,Current,0
2141838,Fully Paid,0
1359196,Current,0
1487462,Current,0
71471,Fully Paid,0
33230,Fully Paid,0
835089,Current,0
1918720,Fully Paid,0
1282384,Fully Paid,0
2001605,Current,0
1519424,Current,0
113534,Current,0
1502709,Current,0
1581632,Current,0
939694,Charged Off,1
1291987,Fully Paid,0
1273760,Fully Paid,0
224977,Charged Off,1
539051,Current,0
336366,Charged Off,1
1054501,Fully Paid,0
336657,Fully Paid,0
1535987,Current,0
1117566,Fully Paid,0
400540,Fully Paid,0
1074578,Fully Paid,0
1301990,Fully Paid,0
1117270,Fully Paid,0
1372272,Current,0
2071301,Current,0
57579,Fully Paid,0
2009288,Fully Paid,0
1197533,Charged Off,1
70403,Charged Off,1
693816,Charged Off,1
1863279,Fully Paid,0
1603849,Current,0
450570,Current,0
2004212,Current,0
1048596,Fully Paid,0
1646146,Fully Paid,0
1767332,Fully Paid,0
91243,Fully Paid,0
1018998,Current,0
1212153,Charged Off,1
583240,Fully Paid,0
1876116,Fully Paid,0
2128883,Current,0
2220198,Fully Paid,0
12,Current,0
205635,Fully Paid,0
1414931,Current,0
263584,Fully Paid,0
1583558,Current,0
435692,Current,0
205000,Fully Paid,0
988805,Charged Off,1
1496989,Current,0
1778218,Fully Paid,0
327327,Fully Paid,0
568374,Current,0
2048469,Current,0
1178551,Fully Paid,0
543435,Current,0
1610903,Fully Paid,0
1126081,Charged Off,1
2030437,Fully Paid,0
198816,Fully Paid,0
1478239,Current,0
2136409,Current,0
1060687,Fully Paid,0
1468723,Current,0
859718,Charged Off,1
57208,Fully Paid,0
2024406,Fully Paid,0
2253496,Fully Paid,0
637675,Charged Off,1
196233,Fully Paid,0
91952,Fully Paid,0
870137,Current,0
1097623,Fully Paid,0
24214,Fully Paid,0
863888,Current,0
1838046,Fully Paid,0
1733646,Current,0
1029738,Fully Paid,0
939646,Current,0
1023556,Fully Paid,0
966920,Current,0
65791,Fully Paid,0
1051473,Charged Off,1
46965,Fully Paid,0
607266,Fully Paid,0
199781,Current,0
1548524,Current,0
1084517,Current,0
511627,Current,0
967953,Current,0
572085,Current,0
342871,Charged Off,1
1418694,Current,0
1441032,Current,0
122979,Charged Off,1
1361611,Current,0
127047,Fully Paid,0
395925,Fully Paid,0
1482693,Current,0
266612,Fully Paid,0
302925,Fully Paid,0
133586,Fully Paid,0
733565,Fully Paid,0
1655633,Current,0
903865,Current,0
2179465,Fully Paid,0
1452984,Current,0
1551447,Current,0
252502,Fully Paid,0
1545551,Current,0
1744306,Charged Off,1
2001600,Charged Off,1
1231125,Fully Paid,0
669129,Fully Paid,0
1218919,Fully Paid,0
1782539,Fully Paid,0
845130,Current,0
172057,Fully Paid,0
539549,Current,0
374428,Fully Paid,0
406317,Fully Paid,0
2159904,Current,0
214902,Charged Off,1
216859,Charged Off,1
1001278,Fully Paid,0
28200,Fully Paid,0
152785,Fully Paid,0
1216631,Current,0
456253,Fully Paid,0
249168,Charged Off,1
1363695,Current,0
425572,Current,0
526274,Current,0
395570,Charged Off,1
1479688,Current,0
2029096,Charged Off,1
1320025,Fully Paid,0
210911,Fully Paid,0
641951,Current,0
1249513,Fully Paid,0
1336683,Fully Paid,0
1067706,Fully Paid,0
1776491,Charged Off,1
1702490,Current,0
1994228,Fully Paid,0
2060096,Current,0
1982561,Fully Paid,0
1024290,Fully Paid,0
897887,Fully Paid,0
821872,Current,0
637543,Current,0
48323,Charged Off,1
1763038,Fully Paid,0
1501033,Current,0
851705,Current,0
1684953,Charged Off,1
1526820,Current,0
1166868,Fully Paid,0
1189190,Fully Paid,0
2038473,Current,0
1086679,Fully Paid,0
1662617,Fully Paid,0
26437,Fully Paid,0
578579,Current,0
2058320,Current,0
1939954,Fully Paid,0
1844365,Fully Paid,0
1182599,Fully Paid,0
581546,Current,0
549061,Charged Off,1
339879,Fully Paid,0
1075830,Fully Paid,0
1838706,Charged Off,1
1167853,Fully Paid,0
1727378,Charged Off,1
1212868,Fully Paid,0
2254976,Fully Paid,0
1793921,Fully Paid,0
1608851,Current,0
133448,Fully Paid,0
1909870,Fully Paid,0
817029,Late (31-120 days),1
1662174,Current,0
1527801,Current,0
1204888,Current,0
8127,Fully Paid,0
1698087,Current,0
1020895,Fully Paid,0
219081,Current,0
1759198,Fully Paid,0
1696966,Late (31-120 days),1
416556,Fully Paid,0
2036591,Fully Paid,0
1361791,Current,0
1540552,Current,0
432749,Charged Off,1
984526,Fully Paid,0
290943,Fully Paid,0
1356357,Current,0
573756,Current,0
1352781,Current,0
1759089,Fully Paid,0
79386,Fully Paid,0
1462200,Current,0
2056016,Current,0
1562849,Current,0
112277,Fully Paid,0
850502,Current,0
959045,Current,0
413570,Fully Paid,0
1300659,Charged Off,1
1792563,Fully Paid,0
1586180,Current,0
1453244,Current,0
116151,Fully Paid,0
964251,Fully Paid,0
538611,Current,0
1984696,Current,0
1656687,Current,0
619497,Late (31-120 days),1
442248,Current,0
481755,Current,0
1564821,Current,0
1189840,Fully Paid,0
1923339,Fully Paid,0
135585,Charged Off,1
2132582,Fully Paid,0
2187098,Fully Paid,0
996842,Current,0
798949,Current,0
28319,Current,0
83536,Fully Paid,0
1103625,Current,0
1880948,Fully Paid,0
1022698,Fully Paid,0
935333,Late (31-120 days),1
1500369,Fully Paid,0
1875306,Fully Paid,0
1613273,Charged Off,1
409307,Current,0
2102388,Current,0
413335,Fully Paid,0
1388473,Current,0
869505,Current,0
520240,Current,0
821572,Current,0
256449,Fully Paid,0
349466,Charged Off,1
624446,Current,0
422972,Current,0
1171364,Fully Paid,0
1614137,Fully Paid,0
637255,Fully Paid,0
1495422,Current,0
578672,Current,0
1204337,Fully Paid,0
2105727,Fully Paid,0
729251,Fully Paid,0
1139482,Fully Paid,0
1753778,Charged Off,1
1886855,Fully Paid,0
1012786,Current,0
1102955,Fully Paid,0
136859,Fully Paid,0
60376,Current,0
2060805,Current,0
734931,Fully Paid,0
918224,Fully Paid,0
217661,Fully Paid,0
1761705,Fully Paid,0
804869,Current,0
962420,Current,0
437815,Current,0
1660005,Fully Paid,0
124067,Charged Off,1
1691459,Current,0
1206040,Fully Paid,0
562136,Fully Paid,0
2197712,Fully Paid,0
783427,Current,0
1279961,Fully Paid,0
434790,Current,0
2028742,Current,0
182671,Fully Paid,0
1384678,Current,0
1247597,Fully Paid,0
1304899,Fully Paid,0
804228,Fully Paid,0
2022660,Current,0
1643303,Fully Paid,0
1420025,Current,0
451189,Current,0
1876941,Fully Paid,0
2174776,Current,0
2064351,Fully Paid,0
1269093,Fully Paid,0
167663,Fully Paid,0
1862633,Fully Paid,0
1569897,Current,0
1188598,Charged Off,1
530881,Current,0
1965841,Current,0
1634753,Charged Off,1
1267466,Fully Paid,0
1645720,Charged Off,1
1512941,Fully Paid,0
571204,Current,0
1015699,Fully Paid,0
1772382,Fully Paid,0
1986973,Fully Paid,0
1812512,Fully Paid,0
984219,Fully Paid,0
919249,Fully Paid,0
1167316,Fully Paid,0
1576843,Current,0
950848,Current,0
2108019,Fully Paid,0
459236,Current,0
2002715,Fully Paid,0
786787,Current,0
12646,Fully Paid,0
434352,Current,0
208779,Fully Paid,0
365268,Charged Off,1
791977,Current,0
1281350,Fully Paid,0
2186095,Charged Off,1
411246,Fully Paid,0
408218,Fully Paid,0
1374611,Current,0
597903,Current,0
170222,Fully Paid,0
422999,Current,0
270381,Current,0
2011355,Charged Off,1
2020626,Late (31-120 days),1
1428307,Current,0
1365704,Current,0
1513932,Current,0
1206114,Fully Paid,0
1812930,Fully Paid,0
1874357,Fully Paid,0
1399775,Current,0
1272157,Fully Paid,0
950219,Current,0
1769950,Fully Paid,0
775457,Current,0
736500,Current,0
1976110,Fully Paid,0
1002389,Charged Off,1
572677,Current,0
1032705,Fully Paid,0
796810,Fully Paid,0
2104971,Current,0
2000364,Charged Off,1
1633391,Fully Paid,0
196199,Fully Paid,0
1890894,Charged Off,1
2191245,Fully Paid,0
1514963,Current,0
2173260,Fully Paid,0
2127407,Charged Off,1
725755,Current,0
487425,Current,0
1388896,Current,0
279698,Fully Paid,0
1768684,Fully Paid,0
2015278,Charged Off,1
1018870,Fully Paid,0
1182232,Fully Paid,0
1256053,Fully Paid,0
992,Fully Paid,0
73067,Current,0
1325425,Fully Paid,0
1509759,Current,0
1729432,Current,0
1565502,Current,0
191947,Fully Paid,0
1266923,Charged Off,1
216036,Fully Paid,0
393573,Fully Paid,0
2260021,Current,0
2104531,Charged Off,1
1806244,Fully Paid,0
405988,Fully Paid,0
1286575,Fully Paid,0
761951,Current,0
1617999,Charged Off,1
996832,Fully Paid,0
981356,Current,0
1092636,Fully Paid,0
964289,Current,0
1980898,Fully Paid,0
1904811,Fully Paid,0
619203,Current,0
887575,Current,0
636058,Charged Off,1
1829754,Fully Paid,0
1653480,Does not meet the credit policy. Status:Fully Paid,0
907588,Current,0
1338483,Fully Paid,0
468319,Fully Paid,0
1559754,Fully Paid,0
982122,Current,0
1586795,Current,0
795943,Current,0
1927185,Fully Paid,0
1792879,Fully Paid,0
1676459,Current,0
1014843,Fully Paid,0
510800,Current,0
1542134,Current,0
851574,Current,0
133961,Fully Paid,0
545283,Current,0
327819,Fully Paid,0
481075,Charged Off,1
879255,Charged Off,1
61602,Fully Paid,0
574470,Charged Off,1
886382,Current,0
1517850,Current,0
1529352,Current,0
2002530,Charged Off,1
344866,Fully Paid,0
1674034,Current,0
1967258,Fully Paid,0
2233369,Current,0
1561460,Current,0
1219733,Charged Off,1
1106304,Charged Off,1
1774584,Fully Paid,0
37370,Charged Off,1
1045691,Fully Paid,0
2099657,Current,0
2213945,Current,0
93567,Charged Off,1
1669436,Current,0
310929,Charged Off,1
1274661,Fully Paid,0
516559,Current,0
670658,Fully Paid,0
536589,Current,0
713115,Fully Paid,0
526496,Current,0
70553,Fully Paid,0
386689,Fully Paid,0
1162353,Fully Paid,0
84855,Fully Paid,0
1265126,Fully Paid,0
1157607,Fully Paid,0
1376120,Current,0
187890,Fully Paid,0
1732951,Fully Paid,0
1028839,Fully Paid,0
1338892,Fully Paid,0
1703384,Current,0
382776,Fully Paid,0
1629257,Fully Paid,0
1200269,Charged Off,1
977714,Current,0
1350313,Charged Off,1
1261956,Current,0
1097219,Fully Paid,0
926786,Current,0
2148055,Current,0
1204967,Fully Paid,0
1788798,Fully Paid,0
1673965,Current,0
2113259,Current,0
943070,Current,0
1926056,Charged Off,1
174530,Fully Paid,0
202184,Fully Paid,0
1366680,Current,0
683677,Current,0
1971586,Fully Paid,0
2199791,Fully Paid,0
1463542,Current,0
1015062,Fully Paid,0
2254486,Charged Off,1
2201342,Current,0
570762,Charged Off,1
658543,Charged Off,1
1645852,Fully Paid,0
971592,Current,0
777777,Fully Paid,0
1503226,Current,0
1462661,Current,0
1305152,Fully Paid,0
578067,Charged Off,1
1803175,Fully Paid,0
1828704,Fully Paid,0
188303,Fully Paid,0
423549,Current,0
1574389,Current,0
59099,Charged Off,1
1784600,Charged Off,1
58508,Charged Off,1
1403654,Current,0
392590,Fully Paid,0
477045,Current,0
1267525,Fully Paid,0
1755457,Fully Paid,0
1390400,Current,0
2149729,Current,0
788237,Current,0
1222908,Charged Off,1
668324,Current,0
1140221,Fully Paid,0
1820752,Fully Paid,0
450979,Current,0
1727492,Fully Paid,0
66308,Fully Paid,0
87253,Fully Paid,0
1097811,Fully Paid,0
1128291,Charged Off,1
1468914,Current,0
721757,Fully Paid,0
2218487,Fully Paid,0
178094,Charged Off,1
1480705,Current,0
624858,Current,0
338227,Fully Paid,0
1925398,Fully Paid,0
1688918,Current,0
146049,Fully Paid,0
347246,Fully Paid,0
1085666,Fully Paid,0
1804436,Fully Paid,0
1148827,Current,0
55855,Current,0
779511,Current,0
1482048,Current,0
1549125,Current,0
1793599,Fully Paid,0
927200,Current,0
2105498,Current,0
1442474,Current,0
2235222,Fully Paid,0
404391,Charged Off,1
125780,Fully Paid,0
67914,Charged Off,1
965067,Current,0
849834,Current,0
1302603,Fully Paid,0
2259111,Fully Paid,0
790620,Fully Paid,0
1459524,Current,0
42092,Fully Paid,0
249583,Fully Paid,0
925406,Fully Paid,0
589703,Fully Paid,0
2246124,Current,0
1145741,Fully Paid,0
29111,Fully Paid,0
235421,Charged Off,1
380869,Fully Paid,0
2154959,Current,0
811755,Current,0
519221,Current,0
277538,Fully Paid,0
685997,Fully Paid,0
371315,Fully Paid,0
390394,Fully Paid,0
503709,Current,0
972584,Current,0
482171,Current,0
2171619,Fully Paid,0
2092087,Current,0
1109831,Fully Paid,0
752511,Current,0
749206,Current,0
358232,Fully Paid,0
534818,Current,0
393122,Fully Paid,0
462389,Fully Paid,0
753996,Current,0
1214856,Fully Paid,0
50033,Fully Paid,0
948993,Late (31-120 days),1
498840,Current,0
1029214,Fully Paid,0
1640675,Fully Paid,0
1555478,Fully Paid,0
680431,Fully Paid,0
867935,Current,0
263944,Fully Paid,0
500308,Charged Off,1
1393468,Current,0
1386038,Current,0
837235,Current,0
409008,Charged Off,1
701804,Current,0
1115509,Fully Paid,0
623134,Charged Off,1
183233,Fully Paid,0
2237141,Current,0
1981114,Fully Paid,0
112503,Fully Paid,0
1128531,Fully Paid,0
1836453,Charged Off,1
1377441,Current,0
231131,Fully Paid,0
2250930,Fully Paid,0
919257,Fully Paid,0
1824945,Fully Paid,0
1177273,Fully Paid,0
1660730,Current,0
1842239,Fully Paid,0
1787498,Charged Off,1
1676636,Charged Off,1
465649,Current,0
514322,Current,0
211589,Charged Off,1
29041,Fully Paid,0
1755878,Fully Paid,0
119277,Current,0
2225437,Fully Paid,0
224360,Fully Paid,0
1489363,Current,0
1064059,Charged Off,1
1904653,Fully Paid,0
787895,Current,0
148008,Fully Paid,0
942208,Current,0
496734,Current,0
1457870,Current,0
1486992,Current,0
1264732,Current,0
1824116,Charged Off,1
480833,Current,0
1039002,Fully Paid,0
75388,Fully Paid,0
1369074,Current,0
1764383,Fully Paid,0
691287,Fully Paid,0
519567,Current,0
231609,Fully Paid,0
483734,Current,0
227885,Fully Paid,0
1355719,Current,0
1489421,Current,0
1712699,Current,0
787821,Current,0
1920875,Fully Paid,0
1299421,Fully Paid,0
155457,Fully Paid,0
1433328,Current,0
207671,Fully Paid,0
1693449,Current,0
1672556,Fully Paid,0
1700223,Fully Paid,0
2245526,Fully Paid,0
109285,Current,0
1982768,Current,0
665225,Current,0
392033,Current,0
1095443,Charged Off,1
2017121,Fully Paid,0
1349492,Fully Paid,0
2116813,Fully Paid,0
1380344,Current,0
762413,In Grace Period,0
669571,Fully Paid,0
774563,Current,0
950604,Current,0
1326982,Fully Paid,0
1301032,Charged Off,1
975090,Current,0
846672,Current,0
1437383,Current,0
1596778,Current,0
1082626,Fully Paid,0
2256079,Current,0
638849,Charged Off,1
758128,Fully Paid,0
1419147,Current,0
1429273,Current,0
546142,Fully Paid,0
25522,Fully Paid,0
604875,Current,0
1879237,Fully Paid,0
1063080,Fully Paid,0
324615,Fully Paid,0
1243398,Fully Paid,0
1463066,Fully Paid,0
2170099,Fully Paid,0
251449,Fully Paid,0
972808,Fully Paid,0
317639,Fully Paid,0
1461499,Current,0
2226929,Current,0
1721690,Current,0
161718,Fully Paid,0
1216715,Fully Paid,0
2213948,Charged Off,1
1725571,Fully Paid,0
232857,Fully Paid,0
1878195,Fully Paid,0
1773989,Fully Paid,0
990358,Current,0
560813,Current,0
1998896,Fully Paid,0
1388691,Current,0
1994945,Fully Paid,0
2253247,Current,0
1570483,Current,0
1682319,Current,0
340571,Fully Paid,0
1867118,Fully Paid,0
406058,Fully Paid,0
2200582,Charged Off,1
565256,Current,0
1559021,Current,0
952755,Current,0
1589490,Fully Paid,0
890730,Current,0
507498,Current,0
1299352,Fully Paid,0
1894786,Fully Paid,0
362908,Fully Paid,0
408215,Fully Paid,0
2088637,Charged Off,1
413100,Fully Paid,0
2143324,Current,0
965039,Current,0
1528401,Current,0
2195211,Current,0
1226042,Charged Off,1
469704,Fully Paid,0
1043773,Fully Paid,0
1675072,Current,0
2165538,Fully Paid,0
2241959,Fully Paid,0
2254195,Current,0
1840217,Fully Paid,0
1099727,Fully Paid,0
169365,Fully Paid,0
1713472,Current,0
1404484,Current,0
1300308,Fully Paid,0
1262919,Fully Paid,0
1369571,Current,0
1327828,Fully Paid,0
778301,Fully Paid,0
62933,Charged Off,1
1211978,Fully Paid,0
76884,Fully Paid,0
1078062,Fully Paid,0
479186,Current,0
1517922,Fully Paid,0
197265,Fully Paid,0
545649,Fully Paid,0
592888,Current,0
1552725,Current,0
967647,Fully Paid,0
287312,Charged Off,1
660955,Fully Paid,0
1793822,Fully Paid,0
1455678,Current,0
219301,Fully Paid,0
315282,Charged Off,1
1166944,Fully Paid,0
1950224,Current,0
1770682,Fully Paid,0
728498,Late (31-120 days),1
1366571,Current,0
