loan_id,customer_id,loan_amnt,term,int_rate,installment,grade,sub_grade,purpose,issue_d
1455434,275398,12000.0, 60 months,16.14,292.72,C,C4,debt_consolidation,2018-10-01
1391645,577584,3500.0, 36 months,8.19,109.99,A,A4,debt_consolidation,2018-12-01
311648,357757,9725.0, 36 months,17.57,349.49,D,D4,debt_consolidation,2015-04-01
780067,170357,35000.0, 36 months,10.47,1137.1,B,B2,debt_consolidation,2018-09-01
177722,411037,12000.0, 36 months,8.18,377.04,B,B1,debt_consolidation,2015-08-01
7333,554591,35000.0, 36 months,9.17,1115.77,B,B2,credit_card,2015-12-01
1045983,493023,24000.0, 60 months,10.75,518.84,B,B4,debt_consolidation,2016-03-01
1562448,690797,15000.0, 60 months,10.9,325.39,B,B4,credit_card,2018-05-01
713426,384378,2500.0, 36 months,18.25,90.7,D,D3,major_purchase,2016-04-01
442878,33090,20000.0, 60 months,14.07,466.1,C,C3,debt_consolidation,2018-03-01
1859049,638046,8650.0, 36 months,13.11,291.92,B,B4,credit_card,2013-04-01
2188034,282096,3200.0, 36 months,7.99,100.27,A,A5,debt_consolidation,2016-12-01
2158584,541898,25000.0, 36 months,17.99,903.69,D,D2,credit_card,2016-12-01
207978,175995,20000.0, 36 months,16.99,712.96,D,D3,moving,2015-07-01
714239,302893,16000.0, 60 months,13.67,369.57,C,C3,debt_consolidation,2016-04-01
1492154,317168,20725.0, 36 months,10.56,674.2,B,B3,major_purchase,2018-06-01
1640456,61397,10000.0, 60 months,13.98,232.58,C,C3,home_improvement,2010-06-01
1705651,315608,12000.0, 60 months,23.99,345.15,E,E2,debt_consolidation,2017-02-01
1920137,400194,15000.0, 36 months,15.81,525.95,C,C4,debt_consolidation,2012-07-01
274752,521508,1800.0, 36 months,15.61,62.94,D,D1,other,2015-05-01
1014067,340799,12000.0, 60 months,15.31,287.44,C,C5,credit_card,2016-03-01
1696626,559207,9000.0, 36 months,11.44,296.53,B,B4,credit_card,2017-02-01
2178885,357503,3425.0, 36 months,19.99,127.27,D,D4,debt_consolidation,2016-12-01
1972113,577503,25000.0, 36 months,13.99,854.32,C,C3,home_improvement,2016-08-01
607746,577459,6000.0, 36 months,19.03,220.03,D,D3,debt_consolidation,2017-08-01
1807145,443398,1200.0, 36 months,10.64,39.09,B,B2,debt_consolidation,2013-09-01
388554,640901,33750.0, 36 months,6.99,1041.95,A,A3,credit_card,2015-01-01
645540,147753,15000.0, 36 months,5.32,451.73,A,A1,debt_consolidation,2017-07-01
1640153,138615,10000.0, 36 months,7.51,311.11,A,A4,debt_consolidation,2010-07-01
126246,419424,23150.0, 60 months,15.61,558.18,D,D1,credit_card,2015-10-01
792829,399715,8000.0, 36 months,8.46,252.4,A,A5,debt_consolidation,2018-08-01
627719,576223,6000.0, 36 months,13.59,203.88,C,C2,debt_consolidation,2017-07-01
380611,652427,12000.0, 36 months,15.99,421.83,D,D2,debt_consolidation,2015-02-01
1129864,23863,24000.0, 36 months,11.99,797.03,B,B5,debt_consolidation,2014-11-01
928791,605438,32000.0, 60 months,13.59,737.8,C,C2,other,2017-05-01
1918763,112320,7000.0, 36 months,7.9,219.04,A,A4,home_improvement,2012-07-01
1495765,57436,32000.0, 60 months,9.58,673.32,B,B1,credit_card,2018-06-01
76929,520236,12000.0, 36 months,11.49,395.66,B,B5,debt_consolidation,2015-11-01
1584041,526351,8400.0, 36 months,11.98,278.92,B,B5,home_improvement,2018-04-01
210076,654405,13000.0, 36 months,12.29,433.59,C,C1,credit_card,2015-07-01
130343,165605,13200.0, 36 months,12.69,442.8,C,C2,debt_consolidation,2015-09-01
1538269,557069,15000.0, 60 months,20.39,400.68,D,D4,credit_card,2018-05-01
976222,630967,4000.0, 36 months,11.49,131.89,B,B5,debt_consolidation,2017-04-01
837367,59488,6300.0, 36 months,15.02,218.46,C,C3,credit_card,2018-07-01
269704,265447,35000.0, 60 months,24.99,1027.1,F,F4,debt_consolidation,2015-05-01
683559,115410,35000.0, 60 months,29.67,1125.29,G,G3,debt_consolidation,2016-06-01
1157612,533889,12000.0, 36 months,13.35,406.36,C,C2,credit_card,2014-10-01
353881,98032,19650.0, 60 months,17.86,497.49,D,D5,medical,2015-03-01
1443345,646356,17400.0, 36 months,13.56,590.98,C,C1,credit_card,2018-10-01
1080530,37477,7200.0, 36 months,7.89,225.26,A,A5,debt_consolidation,2016-02-01
36841,236985,5000.0, 36 months,9.17,159.4,B,B2,home_improvement,2015-12-01
223576,480411,20000.0, 60 months,13.99,465.27,C,C4,debt_consolidation,2015-07-01
1788272,124439,23500.0, 36 months,6.97,725.29,A,A2,major_purchase,2013-10-01
1445349,674787,11000.0, 36 months,8.46,347.04,A,A5,debt_consolidation,2018-10-01
678272,75317,15000.0, 36 months,5.32,451.73,A,A1,credit_card,2016-06-01
1282934,544769,20150.0, 60 months,18.25,514.43,D,D3,debt_consolidation,2014-05-01
155369,672892,12000.0, 36 months,16.99,427.78,D,D3,other,2015-09-01
2040613,539235,15000.0, 36 months,7.35,465.57,A,A4,debt_consolidation,2017-12-01
1649495,476906,15000.0, 36 months,16.63,532.05,E,E4,debt_consolidation,2009-02-01
1470412,432495,8000.0, 36 months,11.55,264.0,B,B4,debt_consolidation,2018-10-01
2206517,246231,1550.0, 36 months,15.99,54.49,C,C5,debt_consolidation,2016-11-01
185861,131083,15000.0, 36 months,8.18,471.3,B,B1,credit_card,2015-07-01
2086784,254925,15000.0, 60 months,15.05,357.25,C,C4,other,2017-11-01
1829750,318241,35000.0, 60 months,17.56,880.42,D,D1,home_improvement,2013-07-01
1213357,283098,35000.0, 60 months,18.24,893.35,D,D5,debt_consolidation,2014-08-01
270284,652486,6150.0, 36 months,16.99,219.24,D,D3,home_improvement,2015-06-01
1710992,545770,16000.0, 36 months,10.49,519.97,B,B2,debt_consolidation,2017-02-01
130526,401384,16900.0, 36 months,17.57,607.34,D,D4,debt_consolidation,2015-09-01
942139,644558,16000.0, 60 months,13.49,368.08,C,C2,major_purchase,2017-05-01
917676,417044,11000.0, 36 months,16.02,386.84,C,C5,debt_consolidation,2017-05-01
378324,80488,30000.0, 60 months,14.99,713.55,C,C5,debt_consolidation,2015-02-01
1817094,627630,35000.0, 60 months,16.78,865.71,C,C5,debt_consolidation,2013-08-01
1904921,546085,7800.0, 36 months,7.62,243.06,A,A3,other,2012-09-01
1716406,6863,2400.0, 36 months,19.99,89.19,D,D4,credit_card,2017-02-01
1319661,306713,4950.0, 36 months,15.61,173.08,C,C5,debt_consolidation,2014-03-01
2074337,26980,25000.0, 36 months,15.05,867.25,C,C4,credit_card,2017-12-01
1624067,328615,6200.0, 60 months,17.49,155.73,D,D5,debt_consolidation,2011-07-01
1562273,574960,11000.0, 36 months,10.41,357.07,B,B3,credit_card,2018-05-01
350165,187993,6000.0, 36 months,5.93,182.35,A,A1,credit_card,2015-03-01
1163383,384770,20000.0, 36 months,16.99,712.96,D,D3,debt_consolidation,2014-10-01
738637,149528,30000.0, 36 months,5.32,903.45,A,A1,home_improvement,2016-04-01
991638,367168,8000.0, 36 months,7.89,250.29,A,A5,credit_card,2016-03-01
570252,416428,32000.0, 36 months,7.07,989.1,A,A2,home_improvement,2017-08-01
105391,474211,1200.0, 36 months,17.57,43.13,D,D4,medical,2015-10-01
973541,629636,15000.0, 36 months,7.49,466.53,A,A4,debt_consolidation,2017-04-01
966743,307871,8000.0, 36 months,14.99,277.29,C,C4,debt_consolidation,2017-04-01
534423,203159,10000.0, 36 months,12.62,335.12,C,C1,credit_card,2017-09-01
741668,180912,6125.0, 36 months,5.32,184.46,A,A1,credit_card,2016-04-01
1880618,113209,3200.0, 36 months,19.72,118.47,D,D5,credit_card,2013-01-01
938260,491590,9500.0, 36 months,9.44,304.05,B,B1,credit_card,2017-05-01
2218773,333398,10175.0, 36 months,22.74,392.5,E,E1,other,2016-11-01
1651897,202918,3600.0, 36 months,11.86,119.34,B,B5,vacation,2010-10-01
837478,634224,25000.0, 60 months,6.11,484.6,A,A1,credit_card,2018-07-01
1490910,557424,7000.0, 36 months,16.46,247.7,C,C5,other,2018-06-01
619280,78225,9000.0, 36 months,9.44,288.05,B,B1,debt_consolidation,2017-07-01
1113578,452372,13500.0, 60 months,15.77,326.65,D,D1,debt_consolidation,2016-01-01
1068731,544820,18000.0, 60 months,11.99,400.31,C,C1,moving,2016-02-01
2086447,449922,25000.0, 60 months,13.59,576.41,C,C2,credit_card,2017-11-01
1208817,199172,23000.0, 60 months,10.99,499.97,B,B3,credit_card,2014-08-01
1112441,410863,5600.0, 36 months,16.59,198.52,D,D2,debt_consolidation,2016-01-01
1096576,342653,5000.0, 36 months,11.99,166.05,C,C1,debt_consolidation,2016-01-01
914907,112233,20000.0, 36 months,7.97,626.46,A,A5,small_business,2017-06-01
563162,539251,2500.0, 36 months,7.35,77.6,A,A4,credit_card,2017-09-01
276498,356510,8000.0, 36 months,7.26,247.97,A,A4,debt_consolidation,2015-05-01
193755,59265,21000.0, 60 months,12.29,470.22,C,C1,other,2015-07-01
229307,545263,20000.0, 60 months,12.29,447.83,C,C1,debt_consolidation,2015-07-01
672153,631663,25000.0, 60 months,16.29,611.82,D,D1,debt_consolidation,2016-06-01
283918,70017,24000.0, 36 months,11.53,791.77,B,B5,debt_consolidation,2015-05-01
535742,359971,15000.0, 36 months,10.91,490.45,B,B4,home_improvement,2017-09-01
1339873,334216,12000.0, 60 months,15.61,289.34,C,C4,credit_card,2014-01-01
1924140,186491,2000.0, 36 months,8.9,63.51,A,A5,debt_consolidation,2012-06-01
1160609,249501,4000.0, 36 months,9.17,127.52,B,B1,credit_card,2014-10-01
1555771,557443,35000.0, 60 months,14.07,815.66,C,C3,debt_consolidation,2018-05-01
1552296,123465,27175.0, 36 months,10.56,884.03,B,B3,debt_consolidation,2018-05-01
731694,672888,25875.0, 60 months,7.89,523.3,A,A5,credit_card,2016-04-01
2117502,418117,4800.0, 36 months,14.08,164.24,C,C3,credit_card,2017-11-01
1007133,35935,35000.0, 36 months,12.99,1179.12,C,C2,debt_consolidation,2016-03-01
759731,399678,15000.0, 36 months,11.06,491.51,B,B3,debt_consolidation,2018-09-01
814597,351185,30000.0, 60 months,10.47,644.38,B,B2,credit_card,2018-08-01
1046772,674754,8400.0, 36 months,5.32,252.97,A,A1,debt_consolidation,2016-02-01
1537211,401053,7000.0, 36 months,17.47,251.21,D,D1,debt_consolidation,2018-05-01
934966,265020,2000.0, 36 months,15.05,69.38,C,C4,other,2017-05-01
283165,464328,8400.0, 36 months,10.99,274.97,B,B4,debt_consolidation,2015-05-01
871070,411410,14000.0, 36 months,6.19,427.12,A,A2,credit_card,2018-07-01
1380877,651217,10000.0, 60 months,13.56,230.41,C,C1,debt_consolidation,2018-12-01
559923,434578,12150.0, 60 months,14.08,283.22,C,C3,debt_consolidation,2017-09-01
1857063,23618,32150.0, 36 months,16.29,1134.91,C,C4,debt_consolidation,2013-04-01
91204,226097,11000.0, 36 months,7.26,340.96,A,A4,credit_card,2015-10-01
1422640,351444,36000.0, 36 months,6.67,1106.16,A,A2,small_business,2018-11-01
77609,58708,15000.0, 60 months,9.99,318.64,B,B3,debt_consolidation,2015-11-01
763191,623227,12000.0, 60 months,27.27,368.37,E,E5,debt_consolidation,2018-09-01
1286033,22361,10000.0, 36 months,10.99,327.34,B,B2,debt_consolidation,2014-05-01
633223,514798,3000.0, 36 months,11.99,99.63,B,B5,debt_consolidation,2017-07-01
1155620,161150,12000.0, 60 months,11.67,264.94,B,B4,credit_card,2014-10-01
709963,545263,10000.0, 60 months,16.29,244.73,D,D1,home_improvement,2016-04-01
207490,199737,3000.0, 36 months,8.18,94.26,B,B1,credit_card,2015-07-01
2014353,450823,14000.0, 60 months,16.99,347.87,D,D1,debt_consolidation,2016-07-01
1683069,165844,40000.0, 36 months,13.99,1366.92,C,C3,debt_consolidation,2017-03-01
1807289,356142,20125.0, 60 months,24.5,584.82,F,F3,debt_consolidation,2013-09-01
232380,403809,13000.0, 60 months,18.25,331.89,E,E1,debt_consolidation,2015-07-01
831779,233955,4200.0, 36 months,10.47,136.46,B,B2,credit_card,2018-08-01
1445558,377656,6000.0, 36 months,19.92,222.74,D,D3,home_improvement,2018-10-01
623531,265638,13875.0, 36 months,15.05,481.33,C,C4,credit_card,2017-07-01
1008245,419569,16000.0, 60 months,13.67,369.57,C,C3,debt_consolidation,2016-03-01
2161994,47402,35000.0, 36 months,6.99,1080.54,A,A2,debt_consolidation,2016-12-01
2231720,692771,35000.0, 60 months,13.99,814.21,C,C3,credit_card,2016-10-01
1450065,627618,40000.0, 36 months,6.11,1218.88,A,A1,debt_consolidation,2018-10-01
1308935,230681,12000.0, 36 months,18.92,439.39,D,D4,debt_consolidation,2014-04-01
2032227,512926,29900.0, 36 months,17.99,1080.81,D,D2,debt_consolidation,2016-07-01
1476928,368927,7000.0, 36 months,17.97,252.97,D,D1,debt_consolidation,2018-10-01
1231509,669266,9600.0, 36 months,10.15,310.45,B,B2,credit_card,2014-07-01
1415328,112205,32000.0, 60 months,8.19,651.76,A,A4,debt_consolidation,2018-11-01
410594,440877,10000.0, 36 months,13.66,340.13,C,C3,credit_card,2015-01-01
619230,1886,16600.0, 36 months,10.42,538.92,B,B3,debt_consolidation,2017-07-01
2051345,162285,3100.0, 36 months,10.91,101.36,B,B4,other,2017-12-01
1917460,564638,13000.0, 36 months,12.12,432.54,B,B3,debt_consolidation,2012-07-01
1964606,602082,24000.0, 60 months,14.49,564.56,C,C4,debt_consolidation,2016-09-01
60387,149658,25000.0, 36 months,7.89,782.15,A,A5,debt_consolidation,2015-11-01
1322845,272743,13300.0, 60 months,19.47,348.46,D,D5,credit_card,2014-02-01
1057845,662669,8400.0, 36 months,8.39,264.74,B,B1,credit_card,2016-02-01
982252,401335,18000.0, 60 months,18.99,466.84,D,D3,credit_card,2017-04-01
707659,449464,15000.0, 36 months,12.99,505.34,C,C2,small_business,2016-05-01
781280,524932,17000.0, 60 months,7.84,343.4,A,A4,credit_card,2018-09-01
970602,263824,10000.0, 36 months,16.99,356.48,D,D1,debt_consolidation,2017-04-01
1959980,83158,28000.0, 36 months,9.49,896.8,B,B2,debt_consolidation,2016-09-01
571586,514036,10000.0, 36 months,7.97,313.23,A,A5,debt_consolidation,2017-08-01
749902,652330,11000.0, 36 months,10.08,355.36,B,B1,debt_consolidation,2018-09-01
1130196,335245,13000.0, 36 months,14.31,446.27,C,C4,debt_consolidation,2014-11-01
1145853,42626,17000.0, 60 months,8.67,350.18,B,B1,credit_card,2014-11-01
1945756,427982,5600.0, 36 months,11.49,184.64,B,B5,credit_card,2016-09-01
978559,111902,30000.0, 36 months,5.32,903.45,A,A1,credit_card,2017-04-01
1273309,472619,5000.0, 36 months,8.39,157.59,A,A5,credit_card,2014-05-01
766202,480476,28000.0, 36 months,11.55,924.0,B,B4,debt_consolidation,2018-09-01
1640729,684977,10000.0, 60 months,13.61,230.67,C,C2,other,2010-06-01
1560581,281704,6000.0, 36 months,9.92,193.38,B,B2,house,2018-05-01
1100786,115611,20000.0, 60 months,7.91,404.67,A,A5,credit_card,2016-01-01
712478,404144,26050.0, 36 months,5.32,784.5,A,A1,home_improvement,2016-05-01
1843383,148617,35000.0, 36 months,15.8,1227.05,C,C3,debt_consolidation,2013-06-01
1472698,194821,8000.0, 36 months,10.08,258.44,B,B1,credit_card,2018-10-01
1888056,57398,28000.0, 60 months,11.14,610.75,B,B2,credit_card,2012-12-01
594971,416344,9600.0, 36 months,9.93,309.45,B,B2,small_business,2017-08-01
119692,230636,5000.0, 36 months,9.99,161.32,B,B3,debt_consolidation,2015-10-01
602878,165505,28000.0, 60 months,19.03,726.8,D,D3,debt_consolidation,2017-08-01
937604,72376,20000.0, 36 months,8.24,628.95,B,B1,debt_consolidation,2017-05-01
1869942,316249,5600.0, 36 months,12.12,186.33,B,B3,credit_card,2013-03-01
2189550,79085,24000.0, 36 months,8.24,754.74,B,B1,debt_consolidation,2016-12-01
2016021,635315,8000.0, 36 months,19.99,297.27,D,D4,other,2016-07-01
524989,233083,4800.0, 36 months,11.99,159.41,B,B5,debt_consolidation,2018-01-01
1351395,401438,10000.0, 36 months,12.85,336.22,B,B4,debt_consolidation,2014-01-01
2093398,58806,12000.0, 36 months,15.05,416.28,C,C4,debt_consolidation,2017-11-01
1037210,35853,25000.0, 60 months,9.16,520.91,B,B2,home_improvement,2016-03-01
1795464,535824,8000.0, 36 months,16.2,282.05,C,C4,debt_consolidation,2013-09-01
5817,548261,35000.0, 36 months,8.49,1104.71,B,B1,credit_card,2015-12-01
1760207,55770,12000.0, 60 months,19.97,317.73,D,D5,home_improvement,2013-12-01
906266,586821,16000.0, 60 months,13.59,368.9,C,C2,other,2017-06-01
1936919,559813,3000.0, 36 months,12.69,100.64,B,B5,medical,2012-01-01
1170581,355119,15000.0, 60 months,14.99,356.78,C,C5,debt_consolidation,2014-10-01
52758,392140,20000.0, 36 months,6.24,610.62,A,A2,debt_consolidation,2015-11-01
1806369,357561,14000.0, 36 months,10.64,455.96,B,B2,credit_card,2013-09-01
453441,357235,2000.0, 36 months,12.61,67.02,C,C1,home_improvement,2018-03-01
1290655,417856,8000.0, 36 months,8.9,254.03,A,A5,credit_card,2014-04-01
1759714,10296,9000.0, 36 months,14.98,311.9,C,C3,major_purchase,2013-12-01
186705,288275,5000.0, 36 months,12.29,166.77,C,C1,debt_consolidation,2015-08-01
