customer_id,emp_length,home_ownership,annual_inc,verification_status,addr_state
53,10+ years,RENT,0.0,Not Verified,CT
508496,9 years,OWN,64000.0,Not Verified,VA
539575,5 years,MORTGAGE,69000.0,Verified,GA
478892,8 years,RENT,60000.0,Source Verified,LA
90843,10+ years,MORTGAGE,137000.0,Verified,MN
246857,1 year,RENT,32000.0,Verified,IL
323124,7 years,MORTGAGE,41000.0,Not Verified,AZ
322288,< 1 year,MORTGAGE,40800.0,Verified,OH
402267,< 1 year,MORTGAGE,50000.0,Source Verified,NJ
142564,3 years,RENT,18000.0,Source Verified,OH
329983,10+ years,MORTGAGE,41760.0,Source Verified,MT
159181,1 year,MORTGAGE,20000.0,Not Verified,KY
25457,< 1 year,RENT,107000.0,Verified,CT
532812,10+ years,RENT,68000.0,Source Verified,DC
467761,6 years,MORTGAGE,58240.0,Not Verified,CA
52881,2 years,MORTGAGE,118000.0,Source Verified,CO
564519,6 years,MORTGAGE,73000.0,Verified,CO
594718,3 years,RENT,78178.0,Source Verified,MN
505458,10+ years,MORTGAGE,63752.0,Verified,MO
169069,10+ years,RENT,210000.0,Not Verified,IL
261964,< 1 year,RENT,33800.0,Source Verified,SC
656211,6 years,MORTGAGE,90600.0,Verified,CT
157239,3 years,RENT,197300.0,Verified,CA
321755,6 years,MORTGAGE,40705.0,Verified,MS
617020,10+ years,MORTGAGE,82523.0,Source Verified,CA
426464,< 1 year,RENT,53000.0,Source Verified,ND
336253,3 years,MORTGAGE,42316.0,Verified,CA
545631,3 years,RENT,70000.0,Not Verified,IL
669556,,OWN,94000.0,Verified,GA
561775,< 1 year,RENT,72500.0,Not Verified,CA
65644,8 years,OWN,123500.0,Verified,MO
196299,< 1 year,MORTGAGE,25000.0,Source Verified,MO
349143,3 years,RENT,44000.0,Source Verified,GA
167213,,MORTGAGE,20904.0,Verified,NJ
266037,10+ years,RENT,34195.0,Verified,OH
654177,8 years,OWN,90000.0,Verified,SC
128986,10+ years,OWN,165000.0,Verified,PA
561666,1 year,RENT,72500.0,Source Verified,AK
173414,,OWN,218000.0,Not Verified,VA
137846,< 1 year,RENT,175000.0,Not Verified,FL
147407,5 years,OWN,185000.0,Not Verified,AZ
90218,10+ years,MORTGAGE,136500.0,Source Verified,AZ
417597,5 years,MORTGAGE,52000.0,Not Verified,MD
209545,2 years,RENT,26900.0,Verified,GA
437449,10+ years,MORTGAGE,54500.0,Not Verified,NM
310181,4 years,RENT,39500.0,Not Verified,NY
469098,10+ years,RENT,58500.0,Verified,NC
443469,8 years,RENT,55000.0,Verified,TX
427680,,RENT,53000.0,Verified,WA
659934,10+ years,RENT,91750.0,Source Verified,MD
317204,9 years,MORTGAGE,40000.0,Source Verified,TX
19919,3 years,MORTGAGE,105000.0,Verified,MI
210748,2 years,OWN,27000.0,Source Verified,MI
579385,,MORTGAGE,75204.0,Not Verified,FL
125577,,RENT,16200.0,Verified,IL
462747,2 years,MORTGAGE,57720.0,Source Verified,AR
322482,,RENT,40823.0,Verified,FL
502288,10+ years,MORTGAGE,63000.0,Source Verified,VA
126932,1 year,RENT,16380.0,Source Verified,CO
86336,4 years,RENT,134950.0,Not Verified,MD
663859,9 years,OWN,92500.0,Verified,FL
82312,3 years,RENT,131943.0,Source Verified,MD
643520,3 years,MORTGAGE,88000.0,Not Verified,MI
197227,5 years,RENT,25000.0,Verified,PA
26749,2 years,MORTGAGE,107200.0,Source Verified,CA
133624,3 years,OWN,170000.0,Not Verified,GA
347634,< 1 year,MORTGAGE,43745.0,Not Verified,NY
633005,2 years,RENT,85771.0,Verified,IL
140245,10+ years,MORTGAGE,177000.0,Verified,MN
52648,5 years,MORTGAGE,117900.0,Source Verified,FL
577917,6 years,MORTGAGE,75000.0,Not Verified,RI
318658,8 years,MORTGAGE,40044.0,Source Verified,OR
328861,2 years,RENT,41600.0,Source Verified,MA
247585,2 years,RENT,32000.0,Verified,MN
176860,8 years,OWN,220000.0,Source Verified,TX
674860,4 years,RENT,95000.0,Verified,OH
676632,< 1 year,RENT,95500.0,Source Verified,CA
345705,8 years,RENT,43500.0,Source Verified,CO
412183,7 years,RENT,51144.0,Verified,NM
628230,10+ years,OWN,85000.0,Source Verified,HI
75591,9 years,RENT,128000.0,Not Verified,VA
91320,10+ years,OWN,137383.0,Source Verified,IL
452595,3 years,RENT,56190.0,Source Verified,TX
554335,1 year,RENT,71200.0,Not Verified,CA
659955,2 years,MORTGAGE,91769.0,Verified,AL
398406,10+ years,OWN,49900.0,Source Verified,PA
379738,1 year,OWN,47500.0,Source Verified,TX
112107,7 years,MORTGAGE,150000.0,Not Verified,OK
514760,1 year,OWN,65000.0,Verified,NJ
9344,10+ years,MORTGAGE,101678.0,Source Verified,TN
542789,10+ years,MORTGAGE,69551.0,Not Verified,OK
246188,4 years,RENT,32000.0,Verified,AZ
162887,10+ years,MORTGAGE,200000.0,Verified,WI
338893,8 years,OWN,42661.0,Source Verified,WV
303059,10+ years,RENT,38500.0,Source Verified,NJ
511879,5 years,RENT,64936.0,Source Verified,CA
48404,8 years,MORTGAGE,115300.0,Source Verified,GA
336966,7 years,MORTGAGE,42500.0,Source Verified,AZ
175567,10+ years,MORTGAGE,22000.0,Verified,TN
283415,< 1 year,RENT,36064.0,Verified,FL
59250,2 years,MORTGAGE,120000.0,Verified,NJ
190658,4 years,OWN,240000.0,Not Verified,NJ
413710,3 years,RENT,51500.0,Source Verified,GA
79941,8 years,OWN,130000.0,Verified,NY
267272,1 year,MORTGAGE,34500.0,Source Verified,CO
571243,10+ years,OWN,74000.0,Verified,TX
48700,4 years,MORTGAGE,115600.0,Verified,IL
149828,< 1 year,MORTGAGE,18720.0,Not Verified,NC
126272,3 years,MORTGAGE,162529.0,Source Verified,WI
194583,< 1 year,MORTGAGE,2500.0,Not Verified,TX
457629,< 1 year,MORTGAGE,57000.0,Verified,MO
438080,10+ years,RENT,54600.0,Verified,NY
335267,10+ years,RENT,42108.0,Source Verified,FL
228716,,MORTGAGE,29532.0,Not Verified,CA
229965,,RENT,29916.0,Not Verified,MN
143747,8 years,RENT,180000.0,Source Verified,LA
379361,7 years,MORTGAGE,47500.0,Source Verified,NC
386612,3 years,RENT,48120.0,Not Verified,GA
618140,6 years,MORTGAGE,83000.0,Not Verified,AZ
249518,7 years,MORTGAGE,32000.0,Not Verified,WV
354763,2 years,MORTGAGE,44677.0,Verified,PA
119814,5 years,RENT,157000.0,Source Verified,MA
230564,3 years,MORTGAGE,30000.0,Not Verified,CA
448857,9 years,MORTGAGE,56000.0,Not Verified,CA
389433,5 years,OWN,48600.0,Source Verified,MO
271188,4 years,RENT,35000.0,Verified,KY
594707,10+ years,MORTGAGE,78168.0,Source Verified,IL
137057,,RENT,17424.0,Not Verified,MI
86429,6 years,RENT,13500.0,Source Verified,NY
582732,5 years,RENT,76000.0,Verified,MN
123671,8 years,RENT,160000.0,Verified,MO
297537,2 years,RENT,38000.0,Not Verified,LA
628395,9 years,OWN,85000.0,Verified,IL
528050,10+ years,OWN,67000.0,Verified,TN
685927,< 1 year,RENT,98000.0,Source Verified,DE
17879,10+ years,RENT,104325.0,Source Verified,CA
407340,10+ years,MORTGAGE,505000.0,Verified,IL
532747,3 years,MORTGAGE,68000.0,Source Verified,CT
505933,5 years,RENT,63930.0,Source Verified,TX
370817,8 years,MORTGAGE,46438.0,Verified,NY
351464,10+ years,OWN,440000.0,Source Verified,NC
233310,< 1 year,MORTGAGE,30000.0,Source Verified,OK
516449,9 years,MORTGAGE,65000.0,Not Verified,WI
655380,10+ years,MORTGAGE,90203.0,Not Verified,CO
644948,5 years,OWN,88200.0,Verified,AZ
596879,,RENT,78889.0,Verified,FL
50510,10+ years,MORTGAGE,116580.0,Not Verified,CA
129830,2 years,RENT,166000.0,Verified,NY
64466,8 years,RENT,123000.0,Not Verified,AR
524404,3 years,MORTGAGE,66528.0,Source Verified,PA
85089,,MORTGAGE,13368.0,Source Verified,IL
133225,1 year,MORTGAGE,170000.0,Not Verified,AL
142980,3 years,RENT,18000.0,Verified,WV
429415,10+ years,MORTGAGE,53417.0,Source Verified,NM
405882,,MORTGAGE,50300.0,Verified,MD
297208,2 years,RENT,38000.0,Not Verified,IL
462333,< 1 year,RENT,57600.0,Verified,TX
312146,10+ years,MORTGAGE,39800.0,Verified,NV
223849,,RENT,28882.8,Not Verified,NY
405025,< 1 year,MORTGAGE,50100.0,Source Verified,GA
443061,1 year,MORTGAGE,55000.0,Source Verified,RI
114733,,RENT,15240.0,Verified,CA
640255,3 years,MORTGAGE,87200.0,Source Verified,MO
30608,7 years,RENT,109000.0,Source Verified,CA
605757,10+ years,OWN,80000.0,Source Verified,WA
231941,1 year,RENT,30000.0,Source Verified,ME
257239,5 years,RENT,33000.0,Source Verified,TX
629834,7 years,RENT,85000.0,Verified,NV
658914,10+ years,MORTGAGE,91255.0,Source Verified,MS
433997,3 years,MORTGAGE,54000.0,Not Verified,NM
518464,2 years,RENT,65500.0,Source Verified,NJ
177678,< 1 year,MORTGAGE,222500.0,Not Verified,IN
272840,,RENT,35000.0,Verified,OH
274947,< 1 year,RENT,35004.0,Verified,OH
321281,3 years,RENT,40574.0,Source Verified,MD
494348,8 years,RENT,62000.0,Verified,TX
559266,5 years,RENT,72000.0,Source Verified,OH
633534,8 years,MORTGAGE,86000.0,Verified,AZ
20089,9 years,MORTGAGE,105000.0,Not Verified,MO
312216,4 years,RENT,39801.6,Source Verified,TN
262561,,OWN,3400.0,Source Verified,KY
656225,10+ years,OWN,90600.0,Source Verified,MN
636144,10+ years,MORTGAGE,86320.0,Not Verified,TN
127901,6 years,OWN,165000.0,Not Verified,CA
597256,2 years,MORTGAGE,79000.0,Not Verified,CA
691200,10+ years,MORTGAGE,99100.0,Verified,MD
410442,6 years,MORTGAGE,51000.0,Verified,MS
506011,10+ years,MORTGAGE,63965.0,Verified,TX
412836,9 years,MORTGAGE,51300.0,Not Verified,IL
548917,10+ years,RENT,700000.0,Not Verified,CA
488503,5 years,RENT,61200.0,Source Verified,HI
364430,2 years,RENT,45700.0,Source Verified,CA
404818,10+ years,OWN,50032.0,Not Verified,OK
176912,4 years,MORTGAGE,220000.0,Verified,VA
563276,< 1 year,RENT,72756.0,Not Verified,MO
201307,8 years,MORTGAGE,25500.0,Not Verified,PA
387923,,MORTGAGE,48479.0,Verified,MO
524663,1 year,RENT,66600.0,Source Verified,CA
281874,6 years,RENT,36000.0,Verified,OH
272664,4 years,OWN,35000.0,Source Verified,NY
223982,< 1 year,MORTGAGE,289000.0,Source Verified,OK
351410,8 years,MORTGAGE,44000.0,Verified,WV
471341,4 years,RENT,59000.0,Source Verified,AZ
246182,4 years,MORTGAGE,32000.0,Source Verified,AZ
220438,10+ years,OWN,281658.0,Verified,FL
140087,2 years,MORTGAGE,17690.0,Source Verified,AR
352703,1 year,OWN,44300.0,Verified,NJ
311354,,OWN,39600.0,Verified,TX
482681,9 years,OWN,60126.0,Not Verified,CA
544867,5 years,OWN,70000.0,Verified,CA
261090,10+ years,MORTGAGE,33600.0,Verified,TX
369729,1 year,RENT,46195.0,Verified,CA
108708,< 1 year,OWN,15000.0,Not Verified,FL
525133,6 years,MORTGAGE,66738.0,Source Verified,IN
408659,2 years,RENT,50900.0,Verified,FL
480923,5 years,MORTGAGE,60000.0,Verified,RI
562502,3 years,RENT,72500.0,Not Verified,TX
137315,,OWN,17500.0,Verified,KY
199766,9 years,RENT,250812.0,Verified,KY
280605,1 year,OWN,36000.0,Verified,LA
185579,10+ years,RENT,23500.0,Source Verified,MN
358380,1 year,RENT,45000.0,Not Verified,MT
287854,,RENT,36937.0,Verified,VT
195947,1 year,MORTGAGE,25000.0,Verified,MD
291615,,RENT,37200.0,Source Verified,KY
46880,9 years,MORTGAGE,115000.0,Source Verified,MO
370185,3 years,MORTGAGE,46291.0,Not Verified,IL
308627,2 years,RENT,39165.0,Not Verified,OK
484008,10+ years,OWN,60500.0,Source Verified,FL
59274,5 years,MORTGAGE,120000.0,Not Verified,NJ
298774,4 years,RENT,38000.0,Source Verified,OH
34056,,MORTGAGE,110000.0,Source Verified,KS
513475,3 years,RENT,65000.0,Verified,KS
506860,10+ years,MORTGAGE,64000.0,Source Verified,IN
489166,6 years,RENT,61350.0,Not Verified,OR
369466,4 years,MORTGAGE,46106.16,Verified,CA
527552,5 years,MORTGAGE,67000.0,Verified,NV
11548,3 years,MORTGAGE,102000.0,Source Verified,WA
192535,,OWN,24500.0,Not Verified,VA
455803,6 years,MORTGAGE,56813.0,Not Verified,NM
652852,2 years,RENT,90000.0,Not Verified,MO
134545,2 years,MORTGAGE,170000.0,Not Verified,TN
498417,6 years,MORTGAGE,62539.0,Verified,AZ
659199,2 years,MORTGAGE,91420.0,Source Verified,GA
592208,2 years,MORTGAGE,78000.0,Source Verified,GA
677081,4 years,MORTGAGE,95678.0,Source Verified,TX
570037,,MORTGAGE,74000.0,Source Verified,KS
314866,4 years,MORTGAGE,40000.0,Verified,MA
294464,4 years,MORTGAGE,37502.0,Source Verified,NM
67941,< 1 year,OWN,125000.0,Source Verified,AL
